systemTimeMs,gnssTime,latitudeDeg,longitudeDeg,altitude,rollDeg,pitchDeg,yawDeg,agl,hSpeed
1720289255300,1720289262.933913,52.804394421492326,-67.42078064604274,605.750244140625,1.811943531036377,0.4585626721382141,145.6649169921875,0,0.0005182514771283021
1720289255400,1720289263.034086,52.8043944219341,-67.42078064575128,605.7525634765625,1.813211441040039,0.4551883041858673,145.66383361816406,0,0.000678698319351836
1720289255500,1720289263.134051,52.80439442176779,-67.42078064383466,605.7548828125,1.81484854221344,0.44588595628738403,145.67515563964844,0,0.0009582196674459793
1720289255600,1720289263.234056,52.80439442216855,-67.42078064178085,605.7572021484375,1.819924235343933,0.4484085440635681,145.69198608398438,0,0.0004310465593755663
1720289255700,1720289263.334124,52.80439442005442,-67.42078064127307,605.7576904296875,1.8173110485076904,0.45173293352127075,145.70635986328125,0,0.0003675507116623613
1720289255800,1720289263.433891,52.80439441635335,-67.42078064020532,605.7576904296875,1.8211339712142944,0.4454564154148102,145.71987915039062,0,0.0009990530375843067
1720289255900,1720289263.5338821,52.804394412968186,-67.4207806402932,605.7565307617188,1.8195513486862183,0.4386308193206787,145.72357177734375,0,0.0009616438938954728
1720289256000,1720289263.633877,52.80439441006785,-67.42078064185452,605.7565307617188,1.8170478343963623,0.4447769522666931,145.72250366210938,0,0.0010530095573694491
1720289256100,1720289263.734064,52.804394407509704,-67.42078064300617,605.7560424804688,1.819956660270691,0.44719454646110535,145.72116088867188,0,0.0020983005181694128
1720289256200,1720289263.834244,52.804394404881286,-67.42078064413136,605.7560424804688,1.8204753398895264,0.44555994868278503,145.72589111328125,0,0.002195963512012586
1720289256301,1720289263.934425,52.804394402694875,-67.42078064570936,605.7557373046875,1.8239004611968994,0.4467391073703766,145.72581481933594,0,0.0020384453237567773
1720289256400,1720289264.033895,52.804394401053536,-67.4207806477162,605.7557373046875,1.8235996961593628,0.44591376185417175,145.72923278808594,0,0.0026829544216783194
1720289256500,1720289264.133947,52.80439439911662,-67.4207806496974,605.7557373046875,1.8221008777618408,0.4420154094696045,145.72991943359375,0,0.00323129489038863
1720289256600,1720289264.234098,52.8043943979795,-67.42078065224113,605.7557373046875,1.822701334953308,0.4431800842285156,145.7288818359375,0,0.0023992218367143952
1720289256700,1720289264.334027,52.80439439676096,-67.42078065472693,605.7557373046875,1.8207894563674927,0.44553035497665405,145.7324981689453,0,0.0034220563960188333
1720289256800,1720289264.434196,52.804394394706975,-67.42078065634915,605.7557373046875,1.8266346454620361,0.44733405113220215,145.7383575439453,0,0.004092273048660026
1720289256900,1720289264.533828,52.80439439171273,-67.42078065839995,605.7557373046875,1.8300552368164062,0.4470381736755371,145.7432403564453,0,0.005239467939654055
1720289257000,1720289264.633845,52.80439438793293,-67.42078066203639,605.7557373046875,1.8322722911834717,0.4508485198020935,145.74517822265625,0,0.005500997912946353
1720289257100,1720289264.7340102,52.80439438430222,-67.42078066646515,605.7557373046875,1.8343749046325684,0.45575034618377686,145.75650024414062,0,0.006744334137886043
1720289257200,1720289264.8340428,52.804394380018444,-67.42078067062091,605.7557373046875,1.8324631452560425,0.4527799189090729,145.7677764892578,0,0.006757705200221287
1720289257300,1720289264.9339662,52.804394376968865,-67.42078067436776,605.7555541992188,1.836854338645935,0.454318106174469,145.77000427246094,0,0.006947440178393821
1720289257400,1720289265.033918,52.804394374910636,-67.4207806782431,605.7555541992188,1.83771550655365,0.46112191677093506,145.7672576904297,0,0.006284337197931805
1720289257500,1720289265.133864,52.804394373355215,-67.4207806821757,605.7555541992188,1.841361165046692,0.460830420255661,145.76881408691406,0,0.006808646894302438
1720289257600,1720289265.2340622,52.80439437175265,-67.42078068748656,605.7555541992188,1.8420264720916748,0.46179646253585815,145.7717742919922,0,0.00808499926758598
1720289257700,1720289265.3342311,52.80439437058174,-67.42078069375704,605.7555541992188,1.8409603834152222,0.46915000677108765,145.7708282470703,0,0.007903617554505235
1720289257800,1720289265.4339058,52.804394369701846,-67.42078070050273,605.7555541992188,1.8401412963867188,0.4675246477127075,145.7695770263672,0,0.008837935532293088
1720289257900,1720289265.53382,52.80439436893039,-67.4207807073216,605.7552490234375,1.8427197933197021,0.4674990177154541,145.76736450195312,0,0.009402277012667095
1720289258000,1720289265.6338298,52.80439436934254,-67.42078071275711,605.7552490234375,1.8443912267684937,0.46978431940078735,145.76641845703125,0,0.009179229519648105
1720289258100,1720289265.733949,52.80439437001439,-67.42078071698376,605.7552490234375,1.8452306985855103,0.4754406809806824,145.76437377929688,0,0.009743954633858621
1720289258200,1720289265.834021,52.80439437069648,-67.42078071947395,605.7552490234375,1.8474842309951782,0.4718426465988159,145.76551818847656,0,0.009346092183280103
1720289258300,1720289265.9340212,52.80439437116983,-67.42078072193188,605.7552490234375,1.8446898460388184,0.47361209988594055,145.77073669433594,0,0.009584707986540408
1720289258400,1720289266.033911,52.80439437155459,-67.42078072485168,605.7552490234375,1.8438106775283813,0.47584226727485657,145.77134704589844,0,0.00913754944335381
1720289258500,1720289266.133864,52.80439437192944,-67.42078072769971,605.7552490234375,1.8421074151992798,0.477765291929245,145.77413940429688,0,0.009037949666156557
1720289258600,1720289266.233925,52.80439437252312,-67.42078073116434,605.7552490234375,1.8426779508590698,0.47720953822135925,145.77793884277344,0,0.00982640770733728
1720289258700,1720289266.333973,52.80439437283986,-67.42078073540002,605.7552490234375,1.8442362546920776,0.482375830411911,145.7806396484375,0,0.009577195007885805
