Time,Date,System Name,Longitude,Latitude,FP Height,Gnss Correction,H. Speed,Quality,systemTimeMs,gnssTime,latitudeDeg,longitudeDeg,altitude,rollDeg,pitchDeg,yawDeg,agl,hSpeed
1720290006810,2024-07-06,450,-67.40805326795068,52.79972608412405,587.9059584960937,5.43900000000001,2.144515426948951,0.993276016879592,1720289701288.0583,1720289708.9158,52.8043939967501,-67.42078107977109,605.7525116217168,1.5379054482241816,0.29156152329449236,146.51848789378525,0.0,0.0012881389211360087
1720290007308,2024-07-06,200,-67.4080582422973,52.79973534036201,588.9347909698487,5.43900000000001,2.1711409052452857,0.9770509387941448,1720289702065.041,1720289709.6927722,52.80439399601013,-67.42078108052671,605.7525155720324,1.5374280299614425,0.2912705805264719,146.5199749511051,0.0,0.001289480188460064
1720290007807,2024-07-06,450,-67.40806326228616,52.79974476518157,587.9078743896486,5.43900000000001,2.187633365348241,0.8857379141078955,1720289702842.0237,1720289710.469744,52.80439399527016,-67.42078108128233,605.7525195223478,1.5369506116987035,0.2909796377584515,146.52146200842498,0.0,0.0012908214557841194
1720290008291,2024-07-06,200,-67.40806821375,52.7997539555401,590.5539657363893,5.43900000000001,2.17566338072216,0.915739748510016,1720289703619.0063,1720289711.246716,52.804393994530194,-67.42078108203796,605.7525234726634,1.5364731934359646,0.29068869499043104,146.52294906574483,0.0,0.0012921627231081744
1720290008807,2024-07-06,450,-67.408073312545,52.799763752808325,587.9697579900569,5.43900000000001,2.161640953641562,0.9943283708959212,1720289704395.989,1720289712.0236878,52.80439399379022,-67.42078108279358,605.7525274229789,1.5359957751732254,0.29039775222241065,146.52443612306467,0.0,0.0012935039904322298
1720290009307,2024-07-06,200,-67.40807806967182,52.79977321319202,590.629540649414,5.43900000000001,2.1109639610956363,0.9684073104213684,1720289705172.9717,1720289712.80066,52.804393993050255,-67.4207810835492,605.7525313732943,1.5355183569104864,0.2901068094543902,146.52592318038452,0.0,0.0012948452577562848
1720290009808,2024-07-06,450,-67.40808272125166,52.79978270982674,587.9481606445313,5.43900000000001,2.145323816090029,0.8991844029425574,1720289705949.9543,1720289713.5776317,52.80439399231028,-67.42078108430483,605.7525353236099,1.5350409386477475,0.2898158666863698,146.5274102377044,0.0,0.0012961865250803403
1720290010307,2024-07-06,200,-67.40808733804128,52.79979222445199,589.8964369735718,5.43900000000001,2.1772642091090715,0.9536295578639306,1720289706726.937,1720289714.3546038,52.804393991570315,-67.42078108506045,605.7525392739253,1.5345635203850085,0.2895249239183494,146.52889729502425,0.0,0.0012975277924043953
1720290010808,2024-07-06,450,-67.40809189204847,52.79980192601093,586.0763860855103,5.43900000000001,2.1856938869657,0.9163495931508872,1720289707503.9197,1720289715.1315756,52.80439399083035,-67.42078108581607,605.7525432242409,1.5340861021222696,0.28923398115032894,146.5303843523441,0.0,0.0012988690597284507
1720290011308,2024-07-06,200,-67.40809651806222,52.79981159506478,588.868663383484,5.43900000000001,2.189422698919444,0.9021224195208064,1720289708280.9023,1720289715.9085476,52.804393990090375,-67.42078108657171,605.7525471745563,1.5336086838595304,0.2889430383823085,146.53187140966395,0.0,0.001300210327052506
