Time,Date,System Name,Longitude,Latitude,FP Height,Gnss Correction,H. Speed,Quality,systemTimeMs,gnssTime,latitudeDeg,longitudeDeg,altitude,rollDeg,pitchDeg,yawDeg,agl,hSpeed
1720289719810,2024-07-06,450,-67.40757959414046,52.79854416660704,594.8230342254639,5.43900000000001,2.4908561778679346,0.8988915285493579,1720289719800.0,1720289727.4273689,52.798544172594,-67.40757923973264,607.8594360351562,-5.311633586883545,-5.106941223144531,-89.77485656738281,3.15997314453125,2.4955253174026883
1720289720308,2024-07-06,200,-67.40759661520815,52.79854401216937,594.9839621068396,5.43900000000001,2.3144521076081657,0.948635862905428,1720289720301.0,1720289727.927552,52.79854401032169,-67.40759638044572,607.8400268554688,-3.0963211059570312,-5.529803276062012,-90.39320373535156,3.15997314453125,2.3182366729007087
1720289720808,2024-07-06,450,-67.40761303546812,52.79854428592421,594.791178756714,5.43900000000001,2.281034558758186,0.9581387981076686,1720289720800.0,1720289728.427549,52.79854428318876,-67.4076127766952,607.8373413085938,-7.047475337982178,-5.633233547210693,-90.7645492553711,3.16998291015625,2.280709061984568
1720289721310,2024-07-06,200,-67.40762890144582,52.798544147236655,594.9200047836304,5.43900000000001,2.299191353830166,0.9996771241332596,1720289721300.0,1720289728.9275331,52.79854415756783,-67.40762859409841,607.825927734375,-8.046828269958496,-5.281974315643311,-90.67537689208984,3.219970703125,2.299989656447867
1720289721810,2024-07-06,450,-67.4076439330697,52.798543284197045,594.7547175750733,5.43900000000001,2.2561103540877507,0.9093314093692542,1720289721800.0,1720289729.4273548,52.79854330838925,-67.4076436377865,607.80078125,-6.284555912017822,-5.665374755859375,-90.21929931640624,3.16998291015625,2.255429962478348
1720289722308,2024-07-06,200,-67.40765892480422,52.79854202655831,594.2922993621826,5.43900000000001,2.318500976078586,0.9339145965049516,1720289722300.0,1720289729.9278631,52.79854205065941,-67.40765868585655,607.8081665039062,-7.61574125289917,-6.417466163635254,-90.2679672241211,3.25,2.3174843899329227
1720289722810,2024-07-06,450,-67.407674310804,52.798540155885824,594.6986708984375,5.43900000000001,2.386731278494373,0.9244522376308908,1720289722800.0,1720289730.427352,52.79854019871656,-67.40767400194372,607.8194580078125,-5.7492499351501465,-5.879950523376465,-90.96376037597656,3.16998291015625,2.387661267688318
1720289723309,2024-07-06,200,-67.40768963769523,52.79853814507029,594.201785853068,5.43900000000001,2.322478060666421,0.9368040259159108,1720289723304.0,1720289730.927362,52.79853816427725,-67.40768947518949,607.8201293945312,-3.871118068695069,-6.027499675750732,-91.25234985351562,3.25,2.323948570461769
1720289723809,2024-07-06,450,-67.40770494871873,52.79853648268363,594.1363263854981,5.43900000000001,2.183112264587186,0.9911609506615976,1720289723800.0,1720289731.427279,52.79853650944256,-67.40770467573778,607.8292236328125,-5.998448848724365,-5.885867118835449,-91.54412841796876,3.21002197265625,2.180607317525587
1720289724309,2024-07-06,200,-67.40772038931517,52.79853500189278,594.1698081932068,5.43900000000001,2.2855863273018064,0.9701996980091934,1720289724300.0,1720289731.927285,52.79853502762807,-67.40772010387393,607.8186645507812,-5.973624706268311,-6.548710823059082,-91.61997985839844,3.219970703125,2.287219899561502
1720289724809,2024-07-06,450,-67.40773633553484,52.79853365061151,593.9132246946202,5.43900000000001,2.3168461421469937,0.9993360130809223,1720289724800.0,1720289732.427534,52.79853366894153,-67.40773604717636,607.8363647460938,-3.6242482662200928,-6.108744144439697,-91.18304443359376,3.16998291015625,2.318672194828629
1720289725309,2024-07-06,200,-67.40775257598611,52.79853284850032,593.9021895751954,5.43900000000001,2.2860000709408066,0.946433733431412,1720289725300.0,1720289732.927451,52.79853286161054,-67.40775227764485,607.85546875,-5.462225437164307,-6.168125629425049,-91.21186065673828,3.16998291015625,2.28484238174333
1720289725810,2024-07-06,450,-67.4077692101805,52.79853205010753,593.7065492973328,5.43900000000001,2.27018786468025,0.999390841240264,1720289725800.0,1720289733.427281,52.79853206748293,-67.40776887728337,607.8447265625,-5.408533096313477,-5.839653015136719,-91.62506103515624,3.16998291015625,2.2701157822016658
1720289726309,2024-07-06,200,-67.40778600865886,52.79853124953574,593.5950704536439,5.43900000000001,2.306737149293812,0.9592602612013464,1720289726301.0,1720289733.928009,52.79853126088924,-67.40778573329865,607.8090209960938,-4.771206855773926,-6.734199047088623,-91.57461547851562,3.15997314453125,2.305004418276233
1720289726809,2024-07-06,450,-67.40780306560069,52.79853047393984,593.153803630829,5.43900000000001,2.3072658821782337,0.941578306456752,1720289726800.0,1720289734.427279,52.79853048987858,-67.40780276206264,607.76318359375,-5.548042297363281,-5.282766342163086,-91.70539855957033,3.15997314453125,2.30664347324307
1720289727311,2024-07-06,200,-67.40781979314454,52.79852951777415,592.9852602309795,5.43900000000001,2.249871747323502,0.9901184196155656,1720289727304.0,1720289734.9273531,52.79852953172246,-67.40781955974728,607.7387084960938,-5.281604290008545,-4.772667407989502,-92.05709075927734,3.15997314453125,2.2532152505352845
1720289727809,2024-07-06,450,-67.407835955811,52.7985285298467,592.787790599823,5.43900000000001,2.17195618860736,0.9311039068326612,1720289727800.0,1720289735.427305,52.798528546692005,-67.40783566823788,607.74365234375,-4.07630729675293,-5.52212381362915,-91.6297378540039,3.15997314453125,2.1721886915589144
1720289728308,2024-07-06,200,-67.4078517965682,52.79852776519464,592.7483635673523,5.43900000000001,2.164927718906412,0.9642923046079488,1720289728300.0,1720289735.92731,52.79852777356032,-67.407851541777,607.7637329101562,-4.324465751647949,-5.955829620361328,-91.4390106201172,3.25,2.16502886658524
