systemTimeMs,gnssTime,latitudeDeg,longitudeDeg,altitude,rollDeg,pitchDeg,yawDeg,agl,hSpeed
1720292794889,1720292801.9741702,52.80439309252521,-67.42078238485855,605.7517700195312,0.7221581339836121,0.11252440512180328,147.54998779296875,0,0.0006144241599379866
1720292794990,1720292802.0751228,52.804393092772074,-67.42078238569903,605.7540893554688,0.7210626602172852,0.1128125712275505,147.548583984375,0,0.0007578837630590231
1720292795089,1720292802.173679,52.80439309229737,-67.42078238552847,605.75634765625,0.7228966355323792,0.10722952336072922,147.5533447265625,0,0.0006991516130653079
1720292795189,1720292802.273737,52.804393092031894,-67.42078238556783,605.758056640625,0.7276138067245483,0.1122082993388176,147.5613555908203,0,0.0010228897979174707
1720292795289,1720292802.3737621,52.80439309093415,-67.42078238401831,605.758056640625,0.7279087901115417,0.10512447357177734,147.5809783935547,0,0.0012836779506978217
1720292795389,1720292802.473658,52.804393089599934,-67.42078238357519,605.7576904296875,0.7284440398216248,0.10668401420116425,147.59548950195312,0,0.0019074679407918612
1720292795489,1720292802.573777,52.80439308690035,-67.42078238403786,605.7561645507812,0.7272217869758606,0.09788704663515091,147.60116577148438,0,0.0025324335984364477
1720292795589,1720292802.6738508,52.80439308411822,-67.4207823855275,605.7553100585938,0.72555011510849,0.10596618801355362,147.60580444335938,0,0.0031975683137627216
1720292795689,1720292802.773828,52.804393080928904,-67.4207823864189,605.7545166015625,0.7241761088371277,0.09627985209226608,147.61273193359375,0,0.003188225325923097
1720292795789,1720292802.8737862,52.80439307843758,-67.42078238807822,605.7545166015625,0.7250863909721375,0.09564514458179474,147.61538696289062,0,0.003652726769771855
1720292795889,1720292802.9738188,52.80439307409724,-67.42078238978222,605.7543334960938,0.7258730530738831,0.08840049058198929,147.6201934814453,0,0.004980373176984967
1720292795989,1720292803.073827,52.80439306938064,-67.42078239389247,605.7543334960938,0.7277716398239136,0.09312503784894943,147.62367248535156,0,0.005790291321580571
1720292796089,1720292803.173826,52.80439306369798,-67.42078239675595,605.7540283203125,0.7274178266525269,0.08809933811426163,147.62184143066406,0,0.006781142268383362
1720292796189,1720292803.273796,52.804393058140526,-67.42078239976497,605.7540283203125,0.7273110747337341,0.08780793845653534,147.62277221679688,0,0.006431687783215951
1720292796289,1720292803.373926,52.804393053073774,-67.4207824033696,605.7534790039062,0.7314472198486328,0.0924067571759224,147.6228485107422,0,0.007864009922018047
1720292796389,1720292803.4741068,52.80439304749615,-67.42078240849506,605.7534790039062,0.7304971814155579,0.08834456652402878,147.62181091308594,0,0.00838753644852913
1720292796490,1720292803.574274,52.80439304247248,-67.42078241438726,605.7529296875,0.7320420742034912,0.08506066352128983,147.62396240234375,0,0.008970803239872592
1720292796591,1720292803.6754618,52.804393036606996,-67.42078241998702,605.7529296875,0.7316617369651794,0.08621951192617416,147.6251220703125,0,0.008614590796250883
1720292796689,1720292803.773626,52.804393031239925,-67.42078242458489,605.7521362304688,0.7345758676528931,0.08914734423160553,147.6291046142578,0,0.008677328915853877
1720292796789,1720292803.8737721,52.80439302532028,-67.42078242897001,605.7521362304688,0.734049916267395,0.08775980025529861,147.63037109375,0,0.008534028005774168
1720292796889,1720292803.97381,52.804393020780445,-67.42078243192572,605.750732421875,0.7328186631202698,0.08858618140220642,147.63043212890625,0,0.009326147335166244
1720292796989,1720292804.073753,52.80439301663867,-67.42078243453751,605.750732421875,0.7332755923271179,0.08206100016832352,147.63198852539062,0,0.00945002146416955
1720292797089,1720292804.1738281,52.80439301282201,-67.42078243761154,605.7501831054688,0.7329747676849365,0.08539881557226181,147.62887573242188,0,0.010730769916074417
1720292797189,1720292804.273788,52.804393009087995,-67.4207824399163,605.7501831054688,0.732261598110199,0.08323304355144501,147.6278533935547,0,0.010102386854954777
1720292797289,1720292804.373821,52.80439300733857,-67.42078244170257,605.7498168945312,0.7338542938232422,0.08943942189216614,147.62591552734375,0,0.009719962721199422
1720292797389,1720292804.4737668,52.804393004995326,-67.4207824423472,605.7498168945312,0.7338910698890686,0.09251073747873306,147.6245574951172,0,0.01059272088477947
1720292797489,1720292804.573756,52.804393002323096,-67.4207824438227,605.7498168945312,0.7272096276283264,0.09448397904634476,147.62376403808594,0,0.010088153793696132
1720292797589,1720292804.6737978,52.80439300029932,-67.42078244466992,605.7498168945312,0.728725016117096,0.0968770682811737,147.62596130371094,0,0.010513218445137206
1720292797689,1720292804.773793,52.80439299672839,-67.42078244647863,605.7498168945312,0.7284586429595947,0.09600796550512314,147.62620544433594,0,0.0111931730267441
1720292797789,1720292804.8739898,52.8043929925938,-67.42078244870365,605.7498168945312,0.7319338321685791,0.1002860739827156,147.62586975097656,0,0.012115779438105547
1720292797889,1720292804.974232,52.804392989451856,-67.42078244949232,605.7496948242188,0.7300440073013306,0.09784999489784241,147.6230926513672,0,0.01101740286781596
1720292797989,1720292805.073636,52.80439298786933,-67.42078244975107,605.7496948242188,0.7337974309921265,0.09439797699451447,147.62574768066406,0,0.011279248147621426
1720292798089,1720292805.173832,52.80439298659912,-67.42078245071401,605.7489013671875,0.723990797996521,0.08625355362892151,147.62867736816406,0,0.011729746772177734
1720292798189,1720292805.273741,52.80439298596665,-67.42078245126076,605.7489013671875,0.7301886677742004,0.09526226669549942,147.6275177001953,0,0.011333749477578293
1720292798289,1720292805.3738,52.804392984790624,-67.42078245161463,605.7486572265625,0.726411759853363,0.08653222769498825,147.62954711914062,0,0.013523022137737893
